name,event_date,event_type,event_title,amount,valuation,currency,share_price,ticker,exchange_name,description,source_url,confidence_score,amount_readable,valuation_readable,share_price_readable
1X Technologies,2024-01-11,funding,Series B funding round,100000000,,USD,,,,Humanoid robotics funding marker,https://www.1x.tech,2,100.0 M,,
Agility Robotics,2024-01-01,funding,Growth funding placeholder,150000000,1000000000.0,USD,,,,Warehouse robotics funding marker to verify,https://agilityrobotics.com,1,150.0 M,1.00 Mrd,
Apptronik,2025-02-01,funding,Growth funding placeholder,350000000,1500000000.0,USD,,,,Industrial humanoid robotics funding marker to verify,https://apptronik.com,1,350.0 M,1.50 Mrd,
Baseten,2026-06-01,funding,Late-stage growth round placeholder,1500000000,13000000000.0,USD,,,,Inference platform valuation marker to verify,https://www.baseten.co,1,1.50 Mrd,13.00 Mrd,
Figure AI,2024-02-29,funding,Series B funding round,675000000,2600000000.0,USD,,,,Series B round used as historical funding and valuation marker,https://www.figure.ai,2,675.0 M,2.60 Mrd,
Figure AI,2025-09-01,funding,Late-stage funding placeholder,1000000000,39000000000.0,USD,,,,Placeholder for latest reported valuation to verify,https://www.figure.ai,1,1.00 Mrd,39.00 Mrd,
Hugging Face,2023-08-24,funding,Series D round,235000000,4500000000.0,USD,,,,AI model platform funding and valuation marker,https://huggingface.co,2,235.0 M,4.50 Mrd,
Kayrros,2023-01-01,funding,Growth climate intelligence funding placeholder,40000000,1000000000.0,EUR,,,,Climate intelligence funding marker to verify,https://www.kayrros.com,1,40.0 M,1.00 Mrd,
Mistral AI,2023-06-13,funding,Seed round,105000000,,EUR,,,,Early funding marker,https://mistral.ai,2,105.0 M,,
Mistral AI,2023-12-10,funding,Series A round,385000000,2000000000.0,EUR,,,,European AI infrastructure valuation marker,https://mistral.ai,2,385.0 M,2.00 Mrd,
Mistral AI,2024-06-11,funding,Series B round,600000000,6000000000.0,EUR,,,,European AI infrastructure valuation marker,https://mistral.ai,2,600.0 M,6.00 Mrd,
Physical Intelligence,2024-11-01,funding,Major funding round placeholder,400000000,2400000000.0,USD,,,,Robot foundation model funding marker to verify,https://www.physicalintelligence.company,1,400.0 M,2.40 Mrd,
Skild AI,2025-06-01,funding,Growth funding placeholder,300000000,4000000000.0,USD,,,,Robotics foundation model valuation marker to verify,https://www.skild.ai,1,300.0 M,4.00 Mrd,
