name,forecast_date,horizon_months,horizon_bucket,scenario,scenario_label,metric_name,current_value,forecast_value,implied_cagr_pct,probability_pct,confidence_score,assumptions
Figure AI,2026-07-06,1,short_term,bear,Pessimistic,valuation_latest,39000000000.0,40706862458.86159,67.2,35,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,1,short_term,base,Base,valuation_latest,39000000000.0,41520183297.18495,112.0,45,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,1,short_term,bull,Optimistic,valuation_latest,39000000000.0,42757983805.990906,201.6,20,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,2,short_term,bear,Pessimistic,valuation_latest,39000000000.0,42488426954.99166,67.2,35,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,2,short_term,base,Base,valuation_latest,39000000000.0,44203221052.098366,112.0,45,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,2,short_term,bull,Optimistic,valuation_latest,39000000000.0,46878081516.75335,201.6,20,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,3,short_term,bear,Pessimistic,valuation_latest,39000000000.0,44347962875.647,67.2,35,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,3,short_term,base,Base,valuation_latest,39000000000.0,47059636933.566895,112.0,45,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,3,short_term,bull,Optimistic,valuation_latest,39000000000.0,51395185906.39132,201.6,20,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,6,short_term,bear,Pessimistic,valuation_latest,39000000000.0,50429277210.7632,67.2,35,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,6,short_term,base,Base,valuation_latest,39000000000.0,56784857136.38805,112.0,45,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,6,short_term,bull,Optimistic,valuation_latest,39000000000.0,67729875239.80832,201.6,20,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,12,long_term,bear,Pessimistic,valuation_latest,39000000000.0,65208000000.00001,67.2,35,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,12,long_term,base,Base,valuation_latest,39000000000.0,82680000000.0,112.0,45,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,12,long_term,bull,Optimistic,valuation_latest,39000000000.0,117624000000.0,201.6,20,2,Scenario forecast based on benchmark growth proxies; not a prediction.
Figure AI,2026-07-06,36,long_term,bear,Pessimistic,valuation_latest,39000000000.0,182294441472.00003,67.2,35,2,Scenario forecast based on benchmark growth proxies; not a prediction.
